row_id,smiles,MW,LogP,QED,TPSA,HBD,HBA,RB,SA,C,N,O,S,F,Cl,Br,I,ring_count,scaffold_class,fg_ester,fg_amide,fg_amine,fg_alcohol,fg_halogen,img_mean,img_std,img_contrast,img_edge_density,img_texture,hist_0,hist_1,hist_2,hist_3,patch_mean_min,patch_mean_max,patch_mean_std
83,O=C(CCc1ccc(F)cc1)N[C@H]1CCOC1=O,251.25699999999998,1.19,0.8177281861883687,55.4,1.0,3.0,4.0,2.64,13.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,0.8158730864524841,0.16438111662864685,0.9215686321258545,0.1955295138888889,0.11425644159317017,0.04806857638888889,0.0,0.0,0.9519314236111112,0.6930555701255798,0.8534653782844543,0.058088913559913635
106,Cc1c(N2CC[C@@H]([C@H](C)N)C2)c(F)cc2c(=O)n(N)c(=O)n(C3CC3)c12,361.4210000000001,0.8329200000000004,0.7892498399749052,99.28,2.0,7.0,3.0,3.62,18.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,0.0,1.0,0.7934593558311462,0.22391392290592194,0.9176470637321472,0.1996527777777778,0.13846524059772491,0.09233940972222222,0.0,0.0,0.9076605902777778,0.5700504779815674,0.865652322769165,0.10599290579557419
145,N=C(N)NC(=O)c1nc(Cl)c(N2CCCCCC2)nc1N,311.777,0.7158699999999998,0.4693208242959826,134.01,4.0,6.0,2.0,3.05,12.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,0.0,1.0,0.8100243806838989,0.20683430135250092,0.929411768913269,0.197265625,0.13597552478313446,0.07562934027777778,0.0,0.0,0.9243706597222222,0.6296773552894592,0.8699142932891846,0.08729314804077148
248,CC(=O)O[C@@H]1[C@H](C)/C=C/C(C)(C)C(=O)C[C@@H](OC(=O)c2ccccc2)/C(C)=C/[C@H]2[C@@H](OC(=O)c3ccccc3)[C@H](C)C[C@]12OC(C)=O,644.7610000000001,6.464800000000007,0.19795577694576597,122.27000000000004,0.0,9.0,6.0,4.33,38.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,3.0,0.0,0.5882294178009033,0.19340452551841736,0.7254902124404907,0.1996527777777778,0.12527629733085632,0.1369357638888889,0.0,0.8630642361111112,0.0,0.37788671255111694,0.6653322577476501,0.09406115859746933
273,C=C1C[C@H](C(=O)OC)[C@]2(C)CC[C@]3(C)[C@H]4[C@H](O)[C@@H](O)[C@]5(COC(C)=O)[C@@H](C)[C@@H](OC(C)=O)CC[C@H]5[C@]4(C)CC[C@@]3(O)[C@]2(O)C1,620.7800000000002,3.0732000000000017,0.2089908707145846,159.82,4.0,10.0,4.0,4.569999999999999,34.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,4.0,0.0,0.6670105457305908,0.2536177635192871,0.8352941274642944,0.1999782986111111,0.15260952711105347,0.16276041666666666,0.0,0.032660590277777776,0.8045789930555556,0.3868464231491089,0.7790305018424988,0.13185438513755798
393,O=C(O)Cc1ccc2oc(-c3ccc(NC(=O)/C=C/c4cccc(Cl)c4F)c(F)c3)nc2c1,468.8430000000001,5.705400000000002,0.3537349269740638,92.42999999999999,2.0,4.0,6.0,3.91,24.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,3.0,0.6054015755653381,0.18460093438625336,0.729411780834198,0.19954427083333334,0.11914355307817459,0.11664496527777778,0.0,0.8833550347222222,0.0,0.4459218978881836,0.6731481552124023,0.08466478437185287
138,COC(=O)C(C)/C1=C/C=C(\C)CC[C@H]2O[C@]2(C)CC/C=C(\C)CC1,332.4840000000001,5.126200000000005,0.3997786959157957,38.83,0.0,3.0,2.0,2.66,21.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.6620757579803467,0.13826347887516022,0.7607843279838562,0.1953125,0.09437619894742966,0.05685763888888889,0.0,0.9428168402777778,0.0003255208333333333,0.4800177216529846,0.6968137621879578,0.06356152147054672
67,C/C(=C\CC1OC(=O)NC1=O)c1cccc(OCCc2nc(-c3ccccc3)oc2C)c1,432.47600000000017,4.699920000000004,0.5548641700465303,90.66,1.0,6.0,8.0,3.72,25.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,2.0,2.0,0.0,0.6538347601890564,0.18503046035766602,0.7803921699523926,0.19932725694444445,0.12469621747732162,0.1013454861111111,0.0,0.8872612847222222,0.011393229166666666,0.4534246027469635,0.7162241339683533,0.09179653227329254
129,CC(=O)c1sc(NC(=O)N[C@@H]2CN(C(=O)C3CC3)CC[C@H]2CN2CCC[C@@H](Cc3ccc(F)cc3)C2)nc1C,555.7200000000003,4.496520000000004,0.46816341813906653,94.64,2.0,6.0,8.0,4.42,29.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,5.0,0.0,1.0,0.6311904788017273,0.22157369554042816,0.7960784435272217,0.1999782986111111,0.14027342200279236,0.1489800347222222,0.0,0.8153211805555556,0.035698784722222224,0.4400871694087982,0.7243736386299133,0.10000327974557877
73,Cc1ccccc1-c1cc(C(OCc2ccc(Cl)cc2)c2cncn2C)ccc1C#N,427.9350000000001,6.226800000000005,0.36633018870279555,50.84,0.0,4.0,6.0,3.53,26.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,1.0,1.0,0.6144327521324158,0.16034935414791107,0.6980392336845398,0.1986762152777778,0.10661062598228455,0.08995225694444445,0.0,0.9100477430555556,0.0,0.4887595772743225,0.6654616594314575,0.0672636479139328
